property_type,state,lat,lon,area_m2,price_usd
house,Pahang,3.9671435,103.40391,117.8,340632.31
house,Rogaland,58.848193,5.66466,362.2,307074.03
house,Jalisco,19.4052965,-99.1504583,323.5,347139.86
house,Rogaland,,5.7123282,236.4,91926.78
apartment,Sarawak,3.191408,113.088634,204.8,149990.26
house,Coimbra,40.1721605,-8.6867786,305.6,379871.37
house,Coimbra,40.1628977,-8.4270764,300,127968.23
apartment,Manitoba,49.4992,-98.00156,256.7,177188.2
house,Pahang,3.9671435,103.40391,74.6,336504.28
apartment,Sarawak,3.2093353,101.6716295,143.8,328690.03
house,Rogaland,59.4388399,5.3184101,156.7,56383.42
house,Pahang,3.9671435,103.40391,298,289891.18
house,Pahang,,103.3475743,248.4,247825.39
apartment,Coimbra,40.3942251,-7.8103942,319.4,442536.3
house,Coimbra,40.152053,-8.3479579,365.2,90997.86
apartment,Pahang,3.9628564,101.866362,284.5,382343.16
apartment,Andalucia,36.5292176,-6.2940354,139.1,411280.81
house,Coimbra,40.425421,-8.7370509,278.1,438813.72
apartment,Jalisco,25.8025129,-100.2268529,390.8,106835.21
apartment,Manitoba,50.2536,-96.06116,344,214417.88
house,Coimbra,40.3464743,-7.8548033,325.9,329322.95
apartment,Manitoba,50.2477455,-99.8375158,350.9,309358.16
apartment,Jalisco,19.4052965,-99.1504583,167,116957.92
house,Manitoba,54.7769326,-101.8448368,119.6,253826.12
apartment,Rogaland,58.9583506,5.7740124,323.2,323350.1
apartment,Coimbra,40.3159517,-7.9013121,384.1,283203.42
apartment,Jalisco,20.7303804,-103.3977222,87.5,27729.42
house,Jalisco,20.7257009,-103.4082453,392,200176.34
apartment,Wyoming,41.1399814,-104.8202462,303.3,79177.14
apartment,Jalisco,19.3851705,-99.1837453,171.7,193711.65
house,Coimbra,40.3942251,-7.8103942,74.5,55637.3
house,Andalucia,36.7226027,-4.467102,71,76820.29
house,Jalisco,21.443179,-102.5724749,274.4,40951.2
apartment,Galicia,42.4385891,-8.5995773,259.2,240828.52
apartment,Coimbra,40.2221306,-8.0122102,78.4,84340.68
apartment,Sarawak,1.7533329,110.3164529,116,347798.35
house,Manitoba,50.22892,-99.46642,392.2,298064.5
apartment,Coimbra,40.336837,-7.8256005,210.8,443980.89
apartment,Coimbra,40.2690451,-7.9886104,388.8,197920.71
house,Andalucia,,-5.9251211,255.4,268977.43
apartment,Coimbra,40.323749,-8.7980385,202.1,339136.93
apartment,Pahang,3.9671435,103.40391,226.8,22020.58
apartment,Coimbra,40.27638,-8.4732946,318.2,195904.46
apartment,Coimbra,40.1893575,-8.8601025,183.8,135608.57
apartment,Rogaland,59.3947609,5.3329119,141.4,424122.12
apartment,Andalucia,36.757714,-4.2429565,300.2,117569.83
house,Jalisco,23.9211737,-106.8915948,270.8,54389.38
house,Andalucia,37.4212157,-5.9251211,148.7,345369.57
house,Sarawak,3.2093353,101.6716295,197.1,219142.18
apartment,Coimbra,40.3172129,-8.7543161,174.2,184448.1
house,Akershus,59.021857,10.083357,88,303093.53
apartment,Coimbra,40.2295229,-8.5664387,159.3,406897.64
house,Coimbra,40.4603188,-8.72233,106.2,218204.6
house,Coimbra,40.4234188,-8.7397233,284.4,56759.49
apartment,Galicia,42.9782326,-7.5626411,83.3,349780.47
apartment,Coimbra,40.2690451,-7.9886104,88.8,55724.32
apartment,Coimbra,40.3727775,-7.8600447,215.5,263317.55
apartment,Andalucia,37.1773363,-3.5985571,388.6,301838.12
house,Coimbra,40.336837,-7.8256005,101.7,169652.31
apartment,Rogaland,67.1335945,,235.5,350595
apartment,Galicia,42.4423768,-8.6463086,330.2,411901.67
apartment,Coimbra,40.4655049,-8.7183737,194.5,109480.72
apartment,Jalisco,19.3851705,-99.1837453,169.2,154836.86
house,Jalisco,21.443179,-102.5724749,367.1,286118.78
house,Galicia,42.8518656,-8.5638609,101.1,225893.63
apartment,Sarawak,3.2093353,101.6716295,341,71991.64
house,Galicia,42.229169,-8.7026991,75.3,40309.99
house,Manitoba,50.2536,-96.06116,273.7,204639.09
apartment,Sarawak,3.2093353,101.6716295,307.5,70773.04
apartment,Manitoba,51.1500374,-100.0497004,388.8,24019.46
house,Sarawak,1.547829,110.341564,116,100297.04
house,Rogaland,58.9747897,5.6952439,223,308166.6
apartment,Coimbra,40.3727775,-7.8600447,153.1,423274.66
house,Andalucia,,-2.2959788,223.3,300581.39
apartment,Coimbra,40.3206366,-8.708013,185.6,367376.31
house,Coimbra,40.3753959,-7.8270679,346.9,390855.06
house,Andalucia,37.439299,-5.9885456,169,53128.39
house,Sarawak,1.7533329,,91.4,306701.23
apartment,Coimbra,40.2690451,-7.9886104,325.7,79146.34
house,Coimbra,40.4655049,-8.7183737,224.7,112613.49
apartment,Galicia,43.3216087,-8.434873,90.2,97822.52
apartment,Coimbra,40.2221306,-8.0122102,225.6,129212.99
house,Coimbra,40.336837,-7.8256005,219.1,140931.81
house,Galicia,42.229169,-8.7026991,288.6,394792.23
apartment,Manitoba,50.1369112,-96.8791564,241.3,46773.57
apartment,Coimbra,40.2252364,-8.5846629,73.3,418570.97
apartment,Manitoba,49.10469,-97.55961,249.3,336622.44
house,Coimbra,,-7.8929371,71.4,222084.39
house,Coimbra,40.1300413,-8.3176644,104.8,437889.64
apartment,Coimbra,40.1893575,-8.8601025,226.5,395547.73
apartment,Coimbra,40.458916,-7.8775484,80.2,324637.5
house,Pahang,3.9671435,103.40391,186.6,345676.82
apartment,Akershus,59.021857,10.083357,395,429979.4
apartment,Jalisco,19.4458447,-99.1497664,312.2,73364.66
house,Coimbra,40.131487,-8.3317519,130.6,186842.33
house,Coimbra,40.27638,-8.4732946,332.6,445580.12
house,Coimbra,40.2758091,-8.5720706,161.3,255730.97
