property_type,state,lat,lon,area_m2,price_mxn
house,Oklahoma,-21.6960991,21.6481861,377.5,4301846.3
house,Haute-Normandie,58.3986162,15.5385144,191.4,680137.6
house,Rhône-Alpes,27.6644011,85.3187914,279.6,4788287.0
house,Haute-Normandie,26.497669,104.980581,258.3,4097028.4
apartment,Oslo,1.5589383,110.346648,207.6,1829943.8
apartment,Västra Götaland,-32.9150009,-65.3749466,70.1,4144015.4
house,Oklahoma,32.3622982,120.5285929,308.3,160070.1
house,Västra Götaland,51.811764,18.7885677,28.3,1868561.7
house,Haute-Normandie,,125.408732,140.5,1842088.1
house,Västra Götaland,38.006148,23.7836954,460.4,1792736.7
house,Oklahoma,-14.844135,35.3466253,74.4,3879403.3
house,Haute-Normandie,30.96187,113.378132,288.5,899346.4
apartment,Västra Götaland,49.4580118,57.4206897,297.7,1161154.0
house,Oslo,-3.4964316,,74.8,1341808.9
house,Oklahoma,46.6322044,,371.3,4061354.3
house,Rhône-Alpes,44.6254349,18.4538421,210.3,4426346.7
house,Rhône-Alpes,19.4458447,-99.1497664,246.0,2596180.9
house,Haute-Normandie,49.7314687,5.8827648,13.2,3741753.8
house,Haute-Normandie,37.9478539,22.7911211,447.7,4658662.3
apartment,Västra Götaland,43.6399974,1.4282563,56.6,22492.6
apartment,Oklahoma,34.158997,108.906994,309.7,3425408.4
apartment,Rhône-Alpes,-31.413822,-64.485902,441.8,4705761.4
house,Oklahoma,42.0387882,43.8242982,366.9,4894954.2
house,Oklahoma,48.8466523,2.2582125,9.6,2240733.6
apartment,Västra Götaland,43.7477413,39.5308638,154.7,1769146.0
house,Rhône-Alpes,52.6630895,38.4290322,397.7,4220431.8
apartment,Oslo,59.464182,29.6278481,466.7,4548865.7
house,Haute-Normandie,41.3432066,-8.5660453,381.6,1682821.6
house,Oklahoma,45.0463269,38.8000344,271.1,1887084.4
house,Haute-Normandie,10.6989729,122.5747412,75.7,298407.5
apartment,Rhône-Alpes,32.561794,119.671018,171.4,1815620.7
house,Västra Götaland,28.043337,117.043407,225.8,1876538.7
house,Haute-Normandie,29.264004,111.777681,107.9,4714795.4
apartment,Haute-Normandie,-34.7121944,-58.6285183,415.0,3198257.2
apartment,Västra Götaland,55.5747494,,339.8,1777669.2
apartment,Haute-Normandie,,120.26727,491.2,3572320.9
house,Haute-Normandie,48.732568,2.2889821,322.1,421239.9
apartment,Haute-Normandie,23.2905,113.234549,310.5,633134.0
apartment,Rhône-Alpes,40.6940299,19.5865629,412.9,572544.1
apartment,Rhône-Alpes,-6.1756543,35.7926792,444.1,3073826.7
house,Oklahoma,42.3223434,22.7092535,431.8,1535557.6
house,Oslo,-10.1904527,123.6007574,333.1,1803093.4
apartment,Haute-Normandie,38.9680341,121.4703114,61.0,4372093.9
apartment,Oslo,60.0043226,56.655672,338.0,49506.8
apartment,Oslo,40.7038775,-74.16442,336.5,3834649.9
apartment,Oslo,-7.1916713,-79.5139718,193.7,1958476.1
apartment,Oslo,30.044835,,163.8,2586561.2
house,Rhône-Alpes,39.1971979,-84.4578361,149.7,4987893.7
apartment,Oslo,-11.806679,,330.1,3005038.6
house,Oklahoma,45.8309803,94.80205,418.8,2203294.6
house,Haute-Normandie,42.0438495,19.5731734,217.1,2724406.2
apartment,Haute-Normandie,45.9380817,16.7806658,227.0,2854373.1
house,Västra Götaland,7.0849817,124.9011398,425.5,4810029.3
house,Oklahoma,30.274084,120.15507,259.9,4913777.7
house,Rhône-Alpes,45.3612879,18.693916,303.7,4037385.7
house,Oslo,19.3387759,-99.1497466,392.7,3172377.0
apartment,Oslo,,101.4679893,460.3,2481099.2
apartment,Haute-Normandie,-8.7678593,160.6960306,166.3,4265410.9
apartment,Haute-Normandie,-8.5497299,115.2199829,467.6,861133.7
house,Oslo,44.8119628,15.8685645,220.6,296159.8
house,Oklahoma,8.0478831,,30.3,1883258.6
apartment,Oklahoma,-7.158502,109.263397,9.1,3709492.8
house,Västra Götaland,49.788203,19.70598,430.8,1585661.1
apartment,Oklahoma,7.5038886,122.8564594,315.4,604637.7
apartment,Oklahoma,28.312711,115.372281,317.1,2050908.2
apartment,Rhône-Alpes,39.9153943,-7.9165006,289.9,174862.2
house,Rhône-Alpes,55.6780389,,162.8,980519.2
house,Oslo,43.0174717,60.011507,263.8,1775234.0
house,Rhône-Alpes,32.151313,35.256799,416.2,939144.3
apartment,Rhône-Alpes,-17.0490108,-41.5612423,46.4,275194.2
house,Oklahoma,63.0331454,28.4032167,370.9,1919214.6
apartment,Rhône-Alpes,-8.5111152,118.4163103,74.1,1354237.7
apartment,Oklahoma,-8.5769332,-35.9369952,236.2,4712465.3
apartment,Haute-Normandie,67.1356306,20.6831751,439.9,650248.6
house,Rhône-Alpes,42.9506191,143.1041325,88.0,3558621.9
apartment,Haute-Normandie,45.0169373,39.1009227,253.3,1796880.9
apartment,Rhône-Alpes,56.7829665,,381.0,711647.3
apartment,Haute-Normandie,-8.1075296,110.8440632,478.9,4804423.2
apartment,Rhône-Alpes,13.8188768,120.1990703,299.5,4210805.6
house,Västra Götaland,3.1523104,101.7178316,313.1,4109111.4
apartment,Rhône-Alpes,,24.8652145,135.8,2360386.1
apartment,Oslo,,34.6153907,461.0,2562856.1
house,Västra Götaland,45.304073,130.980894,129.2,4762067.4
house,Haute-Normandie,-6.7654881,106.3011265,43.9,3458912.2
apartment,Haute-Normandie,59.4411274,30.1610699,1.0,2434409.8
apartment,Västra Götaland,30.215009,121.258946,27.7,4971660.0
house,Oklahoma,,100.836184,372.6,4221076.6
apartment,Rhône-Alpes,23.982311,116.831826,60.0,1325883.4
house,Oklahoma,-6.1989828,106.5996595,129.3,551616.0
apartment,Rhône-Alpes,47.221906,-1.605738,295.0,1047144.9
house,Haute-Normandie,40.4832736,44.3852966,47.4,4590143.7
house,Haute-Normandie,35.4499037,133.7613311,233.8,731770.0
house,Oslo,31.820591,117.227219,210.0,3396208.7
house,Rhône-Alpes,39.7702467,21.1828612,8.2,4481329.0
house,Oklahoma,-6.761747,111.486801,318.7,3229316.2
apartment,Rhône-Alpes,24.31049,116.116695,236.7,2029363.0
house,Rhône-Alpes,5.4328871,-4.0388918,53.3,1213518.9
apartment,Västra Götaland,-6.6000226,106.79719,369.8,2820095.5
apartment,Oslo,41.1013753,-7.2325243,21.0,1890871.7
apartment,Oslo,,91.622728,207.4,721934.6
apartment,Oklahoma,37.2425649,111.8568586,91.9,1723803.0
apartment,Haute-Normandie,60.2093922,24.7375208,60.0,4256321.6
house,Rhône-Alpes,23.020673,113.751799,339.6,1856457.3
apartment,Oslo,31.784701,87.236772,490.5,1099134.0
house,Västra Götaland,-7.816461,-78.0452048,170.1,3021884.0
apartment,Västra Götaland,48.4100734,-4.4706255,367.6,2153752.1
apartment,Oklahoma,-4.76732,11.8627984,146.0,1487436.6
apartment,Haute-Normandie,37.9773385,140.1850334,57.0,97.2
house,Oslo,0.7193581,32.531617,378.3,3465016.7
apartment,Oslo,52.8303055,62.5102237,275.6,3453429.0
apartment,Haute-Normandie,-17.9808139,-63.3697226,288.5,651153.9
apartment,Rhône-Alpes,49.604873,18.0646415,298.9,1701912.4
house,Västra Götaland,13.9448964,-86.8508942,292.4,2591194.3
apartment,Oklahoma,46.2506074,5.1133935,46.5,481570.5
apartment,Oklahoma,57.162312,23.2197229,249.5,2029319.8
apartment,Rhône-Alpes,-25.2641605,-50.6378804,39.1,4441783.0
apartment,Rhône-Alpes,28.932316,115.565454,10.4,974161.6
apartment,Västra Götaland,20.8861904,106.0287512,344.5,4460503.3
house,Västra Götaland,50.949,43.73781,427.9,4501506.3
house,Rhône-Alpes,40.0876422,-7.2389142,382.2,2693594.2
house,Oslo,7.0583573,125.7222954,402.5,110919.6
house,Haute-Normandie,40.0383706,44.5657164,238.9,2691317.2
apartment,Rhône-Alpes,-28.4836381,28.8480284,198.7,903185.5
apartment,Oklahoma,-7.221299,111.5304344,313.3,3784468.9
apartment,Rhône-Alpes,37.3422186,127.9201621,242.6,3099509.1
apartment,Haute-Normandie,-4.4008685,-68.5247149,124.1,4425276.3
house,Västra Götaland,-18.3958665,-40.1862129,66.0,2700532.0
house,Rhône-Alpes,19.40552,-70.37985,297.5,1841013.6
house,Västra Götaland,,,397.1,1426819.1
apartment,Haute-Normandie,48.2824698,25.1584914,267.2,1412628.8
apartment,Oslo,-8.5207109,127.0024533,158.8,2651898.6
house,Västra Götaland,54.000556,,269.3,4479474.1
apartment,Oklahoma,,19.3633201,72.3,455476.2
apartment,Rhône-Alpes,39.989836,117.274909,125.7,615736.0
apartment,Haute-Normandie,40.3380072,-75.9753516,38.8,3377650.4
apartment,Västra Götaland,-27.593609,-48.5027406,328.2,796152.7
house,Oklahoma,,113.641688,141.8,940853.6
apartment,Rhône-Alpes,-8.6060882,116.1114976,483.6,4549712.3
apartment,Oklahoma,18.416479,,82.4,2816840.7
house,Västra Götaland,24.513025,117.647093,77.2,578621.2
apartment,Oslo,-6.6605307,110.6757556,384.2,1018497.8
house,Västra Götaland,56.1252914,86.0314623,100.5,2817561.1
apartment,Västra Götaland,62.2600127,17.3781406,358.4,2203448.3
house,Rhône-Alpes,,137.8605018,311.6,209533.9
apartment,Rhône-Alpes,23.081924,113.290997,334.6,4870747.9
apartment,Västra Götaland,40.6898292,22.858794,181.5,905654.5
house,Rhône-Alpes,49.6747467,21.9594799,219.2,1339281.9
apartment,Västra Götaland,-15.3084964,-49.6234548,343.8,4694204.6
apartment,Rhône-Alpes,7.11667,124.4,174.3,2461220.9
house,Oklahoma,14.1507357,,331.8,1960432.1
apartment,Oklahoma,54.9897886,62.547128,48.2,1450228.6
apartment,Oslo,36.1,-115.07,67.5,3521365.2
house,Oklahoma,54.3110486,16.2037727,467.3,1754972.1
house,Oklahoma,,114.1176652,281.5,3125016.8
house,Oslo,8.1104639,-67.6095967,230.1,395623.6
house,Västra Götaland,36.8634887,21.9208543,158.5,1620652.0
apartment,Oslo,31.352859,118.432941,147.2,3549410.7
apartment,Rhône-Alpes,-6.2835218,106.7112933,189.6,2211528.1
apartment,Västra Götaland,57.14667,33.10753,320.9,3899735.7
house,Oslo,42.3652917,-71.0646337,49.2,1540999.4
house,Rhône-Alpes,37.05643,70.40061,7.2,4323927.0
apartment,Västra Götaland,-3.0029841,115.9467997,132.7,2633015.2
house,Haute-Normandie,6.470326,12.6187506,177.0,3234287.2
house,Oklahoma,45.788378,3.1331436,27.8,4141329.3
house,Haute-Normandie,30.0510093,119.9499657,386.3,1166269.8
apartment,Haute-Normandie,48.9706758,89.9678382,235.8,4911008.6
apartment,Rhône-Alpes,42.7333428,,99.3,1989178.8
apartment,Oklahoma,45.6747796,18.5702566,365.7,4799240.6
apartment,Västra Götaland,52.9434371,20.5544716,88.9,4784495.4
house,Västra Götaland,32.851086,129.9478595,228.0,4854048.7
house,Oklahoma,39.8441383,116.444208,460.2,2013866.5
apartment,Oslo,50.6696898,18.2791747,470.0,3955147.7
house,Oklahoma,9.9296381,123.1721164,208.4,205798.3
house,Västra Götaland,,123.7090708,175.5,947468.7
apartment,Haute-Normandie,15.461001,120.465946,273.3,1455636.8
house,Rhône-Alpes,41.773672,123.426773,142.8,2303690.7
apartment,Västra Götaland,15.14442,120.94077,75.2,1717529.8
apartment,Haute-Normandie,-1.0875428,35.8770642,305.9,1850101.6
house,Haute-Normandie,-23.3233727,-46.7294577,419.1,2812743.4
apartment,Oslo,34.7474,111.87448,145.6,4156899.1
house,Haute-Normandie,21.244721,110.455332,102.4,4183674.2
apartment,Haute-Normandie,-28.832995,-52.5745556,289.5,31812.2
house,Oklahoma,-10.8416198,39.6285874,58.1,4915842.5
apartment,Rhône-Alpes,32.4865436,-116.8822919,453.8,2218041.4
house,Oklahoma,35.580629,104.610668,342.5,2245335.5
house,Oklahoma,-27.6349915,-48.5219457,290.0,4159989.4
apartment,Haute-Normandie,-6.922586,107.6060501,392.4,1818265.8
house,Oklahoma,48.9098794,2.2829955,388.3,4496735.5
apartment,Oslo,,-62.2542716,212.3,2197933.6
apartment,Västra Götaland,,-60.61667,193.1,1054696.8
house,Oslo,14.6002303,121.0480673,437.6,2149678.7
apartment,Västra Götaland,53.126506,92.94376,19.2,4933054.1
apartment,Västra Götaland,37.3942527,126.9568209,252.1,1650896.0
apartment,Rhône-Alpes,59.4225,30.12389,492.5,1263182.8
apartment,Oklahoma,8.2321816,124.602106,365.8,4593649.3
apartment,Västra Götaland,53.29667,16.99062,227.5,1118048.6
apartment,Rhône-Alpes,-9.309531,-35.9420041,276.4,3208997.1
apartment,Västra Götaland,-3.0029841,115.9467997,140.3,808702.9
apartment,Haute-Normandie,,48.0715612,297.5,3561929.2
house,Oklahoma,-8.5437,115.1036,93.6,3192670.6
apartment,Oklahoma,40.104663,114.150348,494.6,1339742.3
apartment,Haute-Normandie,3.7334765,96.7999931,225.9,3345727.0
apartment,Oklahoma,-8.557437,114.0369075,56.3,17473.5
house,Oklahoma,62.5013857,27.7904218,313.6,3529343.1
