property_type,state,lat,lon,area_m2,price_usd
house,Pahang,3.9671435,103.40391,117.8,"$340,632.31 "
house,Rogaland,58.848193,5.66466,362.2,"$307,074.03 "
house,Jalisco,19.4052965,-99.1504583,323.5,"$347,139.86 "
house,Rogaland,,5.7123282,236.4,"$91,926.78 "
apartment,Sarawak,3.191408,113.088634,204.8,"$149,990.26 "
house,Coimbra,40.1721605,-8.6867786,305.6,"$379,871.37 "
house,Coimbra,40.1628977,-8.4270764,300,"$127,968.23 "
apartment,Manitoba,49.4992,-98.00156,256.7,"$177,188.20 "
house,Pahang,3.9671435,103.40391,74.6,"$336,504.28 "
apartment,Sarawak,3.2093353,101.6716295,143.8,"$328,690.03 "
house,Rogaland,59.4388399,5.3184101,156.7,"$56,383.42 "
house,Pahang,3.9671435,103.40391,298,"$289,891.18 "
house,Pahang,,103.3475743,248.4,"$247,825.39 "
apartment,Coimbra,40.3942251,-7.8103942,319.4,"$442,536.30 "
house,Coimbra,40.152053,-8.3479579,365.2,"$90,997.86 "
apartment,Pahang,3.9628564,101.866362,284.5,"$382,343.16 "
apartment,Andalucia,36.5292176,-6.2940354,139.1,"$411,280.81 "
house,Coimbra,40.425421,-8.7370509,278.1,"$438,813.72 "
apartment,Jalisco,25.8025129,-100.2268529,390.8,"$106,835.21 "
apartment,Manitoba,50.2536,-96.06116,344,"$214,417.88 "
house,Coimbra,40.3464743,-7.8548033,325.9,"$329,322.95 "
apartment,Manitoba,50.2477455,-99.8375158,350.9,"$309,358.16 "
apartment,Jalisco,19.4052965,-99.1504583,167,"$116,957.92 "
house,Manitoba,54.7769326,-101.8448368,119.6,"$253,826.12 "
apartment,Rogaland,58.9583506,5.7740124,323.2,"$323,350.10 "
apartment,Coimbra,40.3159517,-7.9013121,384.1,"$283,203.42 "
apartment,Jalisco,20.7303804,-103.3977222,87.5,"$27,729.42 "
house,Jalisco,20.7257009,-103.4082453,392,"$200,176.34 "
apartment,Wyoming,41.1399814,-104.8202462,303.3,"$79,177.14 "
apartment,Jalisco,19.3851705,-99.1837453,171.7,"$193,711.65 "
house,Coimbra,40.3942251,-7.8103942,74.5,"$55,637.30 "
house,Andalucia,36.7226027,-4.467102,71,"$76,820.29 "
house,Jalisco,21.443179,-102.5724749,274.4,"$40,951.20 "
apartment,Galicia,42.4385891,-8.5995773,259.2,"$240,828.52 "
apartment,Coimbra,40.2221306,-8.0122102,78.4,"$84,340.68 "
apartment,Sarawak,1.7533329,110.3164529,116,"$347,798.35 "
house,Manitoba,50.22892,-99.46642,392.2,"$298,064.50 "
apartment,Coimbra,40.336837,-7.8256005,210.8,"$443,980.89 "
apartment,Coimbra,40.2690451,-7.9886104,388.8,"$197,920.71 "
house,Andalucia,,-5.9251211,255.4,"$268,977.43 "
apartment,Coimbra,40.323749,-8.7980385,202.1,"$339,136.93 "
apartment,Pahang,3.9671435,103.40391,226.8,"$22,020.58 "
apartment,Coimbra,40.27638,-8.4732946,318.2,"$195,904.46 "
apartment,Coimbra,40.1893575,-8.8601025,183.8,"$135,608.57 "
apartment,Rogaland,59.3947609,5.3329119,141.4,"$424,122.12 "
apartment,Andalucia,36.757714,-4.2429565,300.2,"$117,569.83 "
house,Jalisco,23.9211737,-106.8915948,270.8,"$54,389.38 "
house,Andalucia,37.4212157,-5.9251211,148.7,"$345,369.57 "
house,Sarawak,3.2093353,101.6716295,197.1,"$219,142.18 "
apartment,Coimbra,40.3172129,-8.7543161,174.2,"$184,448.10 "
house,Akershus,59.021857,10.083357,88,"$303,093.53 "
apartment,Coimbra,40.2295229,-8.5664387,159.3,"$406,897.64 "
house,Coimbra,40.4603188,-8.72233,106.2,"$218,204.60 "
house,Coimbra,40.4234188,-8.7397233,284.4,"$56,759.49 "
apartment,Galicia,42.9782326,-7.5626411,83.3,"$349,780.47 "
apartment,Coimbra,40.2690451,-7.9886104,88.8,"$55,724.32 "
apartment,Coimbra,40.3727775,-7.8600447,215.5,"$263,317.55 "
apartment,Andalucia,37.1773363,-3.5985571,388.6,"$301,838.12 "
house,Coimbra,40.336837,-7.8256005,101.7,"$169,652.31 "
apartment,Rogaland,67.1335945,,235.5,"$350,595.00 "
apartment,Galicia,42.4423768,-8.6463086,330.2,"$411,901.67 "
apartment,Coimbra,40.4655049,-8.7183737,194.5,"$109,480.72 "
apartment,Jalisco,19.3851705,-99.1837453,169.2,"$154,836.86 "
house,Jalisco,21.443179,-102.5724749,367.1,"$286,118.78 "
house,Galicia,42.8518656,-8.5638609,101.1,"$225,893.63 "
apartment,Sarawak,3.2093353,101.6716295,341,"$71,991.64 "
house,Galicia,42.229169,-8.7026991,75.3,"$40,309.99 "
house,Manitoba,50.2536,-96.06116,273.7,"$204,639.09 "
apartment,Sarawak,3.2093353,101.6716295,307.5,"$70,773.04 "
apartment,Manitoba,51.1500374,-100.0497004,388.8,"$24,019.46 "
house,Sarawak,1.547829,110.341564,116,"$100,297.04 "
house,Rogaland,58.9747897,5.6952439,223,"$308,166.60 "
apartment,Coimbra,40.3727775,-7.8600447,153.1,"$423,274.66 "
house,Andalucia,,-2.2959788,223.3,"$300,581.39 "
apartment,Coimbra,40.3206366,-8.708013,185.6,"$367,376.31 "
house,Coimbra,40.3753959,-7.8270679,346.9,"$390,855.06 "
house,Andalucia,37.439299,-5.9885456,169,"$53,128.39 "
house,Sarawak,1.7533329,,91.4,"$306,701.23 "
apartment,Coimbra,40.2690451,-7.9886104,325.7,"$79,146.34 "
house,Coimbra,40.4655049,-8.7183737,224.7,"$112,613.49 "
apartment,Galicia,43.3216087,-8.434873,90.2,"$97,822.52 "
apartment,Coimbra,40.2221306,-8.0122102,225.6,"$129,212.99 "
house,Coimbra,40.336837,-7.8256005,219.1,"$140,931.81 "
